term,crn,note,course,title,xlist,xlist_crn,instructor,group,theme,graduate_level,year_long,subject,status,units,quarter,duration,no_prereq,days,time,location,meetings,seats_available,reserved_seats,instruction_mode
Spring 2024,30003,,CHEM 470 Y,Thesis (Chemistry),[],[],Staff,[],[],,Y,Chemistry,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30161,,ECON 201 S01,Intro to Economic Analysis,[],[],"Rork, Jon",['2'],[],,N,Economics,active,1,,1 semester,Y,['MWF'],['10:00-10:50'],['VOLLUM 116'],"[['Monday', '1000', '1050', 'VOLLUM 116'], ['Wednesday', '1000', '1050', 'VOLLUM 116'], ['Friday', '1000', '1050', 'VOLLUM 116']]","any students, new students",Y,In-Person Instruction Only
Spring 2024,30005,,ECON 470 Y,Thesis (Economics),[],[],Staff,[],[],,Y,Economics,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30567,,ENG 301 S01,Junior Seminar,[],[],"Martínez, Lucía",['1'],[],,N,English,active,1,,1 semester,N,['MW'],['14:40-16:00'],['ELIOT 405'],"[['Monday', '1440', '1600', 'ELIOT 405'], ['Wednesday', '1440', '1600', 'ELIOT 405']]",,N,In-Person Instruction Only
Spring 2024,30007,,FREN 470 Y,Thesis (French),[],[],Staff,[],[],,Y,French,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30156,,CHEM 102 SL1,Chemical Reactivity: Lab,[],[],"Poletti, Patrick","['3', '3+']",[],,N,Chemistry,active,0,,1 semester,N,['M'],['13:10-16:00'],['CHEM 308'],"[['Monday', '1310', '1600', 'CHEM 308']]",,N,In-Person Instruction Only
Spring 2024,30102,,CHEM 202 SL1,Organic Chemistry II: Lab,[],[],"Ni, Jane","['3', '3+']",[],,N,Chemistry,active,0,,1 semester,N,"['Tu', 'M']","['13:40-17:30', '18:10-19:00']","['CHEM 209', 'VOLLUM VLH']","[['Tuesday', '1340', '1730', 'CHEM 209'], ['Monday', '1810', '1900', 'VOLLUM VLH']]",,N,In-Person Instruction Only
Spring 2024,30104,,CHEM 202 SL3,Organic Chemistry II: Lab,[],[],"Ni, Jane","['3', '3+']",[],,N,Chemistry,active,0,,1 semester,N,"['Th', 'M']","['12:20-16:10', '18:10-19:00']","['CHEM 209', 'VOLLUM VLH']","[['Thursday', '1220', '1610', 'CHEM 209'], ['Monday', '1810', '1900', 'VOLLUM VLH']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30192,,CHEM 202 SL4,Organic Chemistry II: Lab,[],[],"Ni, Jane","['3', '3+']",[],,N,Chemistry,active,0,,1 semester,N,"['F', 'M']","['13:10-17:00', '18:10-19:00']","['CHEM 209', 'VOLLUM VLH']","[['Friday', '1310', '1700', 'CHEM 209'], ['Monday', '1810', '1900', 'VOLLUM VLH']]",,N,In-Person Instruction Only
Spring 2024,30965,"Each section of DANC 101 is offered as either academic credit or as PE credit. This section is for PE credit only, for one quarter only. Students must register for both quarters (the full semester): PE 103 and PE 104. 
To register for academic credit, do not register for these PE sections, and instead register for the appropriate section from the Dance 101 course listings.",PE 103 3B3 Qtr 1,Ballet III-IV PE Credit,[],[],"Fortuna, Victoria",[],[],,N,Physical Education,active,0,1,1st quarter,N,['MW'],['16:40-18:00'],['PERF 240'],"[['Monday', '1640', '1800', 'PERF 240'], ['Wednesday', '1640', '1800', 'PERF 240']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31279,Open to all skill levels. Students must be comfortable playing outdoors in cold and wet weather. Indoor squash courts will be used in inclement weather.,PE 103 VOL Qtr 1,Volleyball,[],[],"Prewitt, Katy",[],[],,N,Physical Education,active,0,1,1st quarter,N,['MW'],['16:10-17:00'],['SPORTS COURTS1'],"[['Monday', '1610', '1700', 'SPORTS COURTS1'], ['Wednesday', '1610', '1700', 'SPORTS COURTS1']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31327,,PE 103 MA2 Qtr 1,Fighting Fit Martial Arts Cond,[],[],"Morrison, James",[],[],,N,Physical Education,active,0,1,1st quarter,N,['TuTh'],['17:10-18:00'],['SPORTS MAT'],"[['Tuesday', '1710', '1800', 'SPORTS MAT'], ['Thursday', '1710', '1800', 'SPORTS MAT']]",,N,In-Person Instruction Only
Spring 2024,31289,"Backcountry Navigation meets on Tuesday evenings in the Sports Center. In addition, will be two Saturday sessions: TBA.",PE 104 BCN Qtr 2,Backcountry Navigation,[],[],"Sofich, Rodney",[],[],,N,Physical Education,active,0,2,2nd quarter,N,['Tu'],['18:10-21:00'],['SPORTS OUT CTR'],"[['Tuesday', '1810', '2100', 'SPORTS OUT CTR']]",,N,In-Person Instruction Only
Spring 2024,31290,Students must supply their own bicycle and helmet. Meet at the Sport Center Upper Lobby bike rack.,PE 104 BKA Qtr 2,Bike Clinic,[],[],"Clark, Mike",[],[],,N,Physical Education,active,0,2,2nd quarter,N,['Tu'],['16:40-18:30'],['SPORTS LOBBYU'],"[['Tuesday', '1640', '1830', 'SPORTS LOBBYU']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31294,"For sanitary reasons, students must purchase their own equipment. Gloves may be purchased at the Cage for $30 and wraps for $8.",PE 104 KBC Qtr 2,Cardio Kickboxing,[],[],"Edelson, Jennifer",[],[],,N,Physical Education,active,0,2,2nd quarter,N,['MW'],['17:10-18:00'],['SPORTS MAT'],"[['Monday', '1710', '1800', 'SPORTS MAT'], ['Wednesday', '1710', '1800', 'SPORTS MAT']]",,N,In-Person Instruction Only
Spring 2024,31324,,PE 104 XYR Qtr 2,Yoga for Relaxation,[],[],"Lake-Freeman, Maya",[],[],,N,Physical Education,active,0,2,2nd quarter,N,['TuTh'],['18:10-19:00'],['SPORTS DANCE'],"[['Tuesday', '1810', '1900', 'SPORTS DANCE'], ['Thursday', '1810', '1900', 'SPORTS DANCE']]",,N,In-Person Instruction Only
Spring 2024,30027,,ICPS 470 Y,Thesis (Intl Policy Studies),[],[],Staff,[],[],,Y,International Policy Studies,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30381,,PHYB 470 Y,Thesis (Physics-Biology),[],[],Staff,[],[],,Y,Physics/Biology,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,31051,,PHYS 102 SL1,General Physics II: Lab,[],[],"Gross, Owen","['3', '3+']",[],,N,Physics,active,0,,1 semester,N,['M'],['13:10-16:00'],['PHYSIC 129'],"[['Monday', '1310', '1600', 'PHYSIC 129']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31109,,PHYS 202 S01,Modern Physics,[],[],Staff,"['3', '3+']",[],,N,Physics,cancelled,,,1 semester,N,,,,,,In-Person Instruction Only
