"Class_ID","Department","Number","Section","Name_SOLAR","Section_ID","Title_Catalog","Instructor","Days","Time","Enrolled","Units","Mode","Type","term","crn","note","title","xlist","xlist_crn","instructor","group","theme","graduate_level","year_long","subject","status","units","quarter","duration","no_prereq","days","time","location","meetings","seats_available","reserved_seats","instruction_mode","Students","Seats","Percent_Fill","Level"
"AMER 470 Thesis (American Studies)","AMER",470,"Y","Thesis (American Studies)","AMER 470 Y","AMER 470 Y - Thesis (American Studies)","Staff",NA,"TBD","0 of 24",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30022,NA,"Thesis (American Studies)","[]","[]","Staff","[]","[]",NA,"Y","American Studies","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,24,0,4
"ANAR 470 Thesis (Anthropology-Art)","ANAR",470,"Y","Thesis (Anthropology-Art)","ANAR 470 Y","ANAR 470 Y - Thesis (Anthropology-Art)","Staff",NA,"TBD","0 of 10",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30712,NA,"Thesis(Anthropology-Art)","[]","[]","Staff","[]","[]",NA,"Y","Anthropology/Art","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,10,0,4
"ANME 100 Topography & Arch of Rome","ANME",100,"S","Topography & Arch of Rome","ANME 100 S Qtr 1","ANME 100 S Qtr 1 - Topography & Arch of Rome","Sabnis",NA,"TBD","14 of 15",0.25,"In-Person Instruction Only","LECTURE AND CONFERENCE","Spring 2024",31112,NA,"Topography & Arch of Rome","[]","[]","Sabnis, Sonia","[]","[]",NA,"N","Ancient Mediterranean Studies","active",0.25,1,"1st quarter","Y","[]","['TBD']","[]","[]","any students, new students","N","In-Person Instruction Only",14,15,0.933333333333333,1
"ANME 261 Greek and Roman Mythology","ANME",261,"S","Greek and Roman Mythology","ANME 261 S","ANME 261 S - Greek and Roman Mythology","Sabnis","TuTh","15:10 - 16:30","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30581,NA,"Greek and Roman Mythology","['LITL 261']","['30688']","Sabnis, Sonia","['1']","[]",NA,"N","Ancient Mediterranean Studies","active",1,NA,"1 semester","Y","['TuTh']","['15:10-16:30']","['TRL 150']","[['Tuesday', '1510', '1630', 'TRL 150'], ['Thursday', '1510', '1630', 'TRL 150']]",NA,"Y","In-Person Instruction Only",NA,NA,1,2
"ANME 384 Archaeology of Egypt and Nubia","ANME",384,"S","Archaeology of Egypt and Nubia","ANME 384 S","ANME 384 S - Archaeology of Egypt and Nubia","Landvatter","TuTh","13:40 - 15:00","20 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30903,NA,"Archaeology of Egypt and Nubia","[]","[]","Landvatter, Tom","['2']","[]",NA,"N","Ancient Mediterranean Studies","active",1,NA,"1 semester","Y","['TuTh']","['13:40-15:00']","['LIB 41']","[['Tuesday', '1340', '1500', 'LIB 41'], ['Thursday', '1340', '1500', 'LIB 41']]","any students, new students","N","In-Person Instruction Only",20,24,0.833333333333333,3
"ANME 501 Pseudo-Archaeology","ANME",501,"S","Pseudo-Archaeology","ANME 501 S","ANME 501 S - Pseudo-Archaeology","Landvatter","Tu","19:00 - 20:30","8 of 15",0.5,"In-Person Instruction Only","CONFERENCE","Spring 2024",31125,NA,"Pseudo-Archaeology","[]","[]","Landvatter, Tom","[]","[]","Y","N","Ancient Mediterranean Studies","active",0.5,NA,"1 semester","N","['Tu']","['19:00-20:30']","['ETC 205']","[['Tuesday', '1900', '2030', 'ETC 205']]","any students, new students","N","In-Person Instruction Only",8,15,0.533333333333333,5
"ANTH 201 Topics: Lang, Culture, Power","ANTH",201,"S01","Topics: Lang, Culture, Power","ANTH 201 S01","ANTH 201 S01 - Topics: Lang, Culture, Power","Makley","MW","13:10 - 14:30","20 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30844,NA,"Topics: Lang, Culture, Power","[]","[]","Makley, Charlene","['2']","[]",NA,"N","Anthropology","active",1,NA,"1 semester","Y","['MW']","['13:10-14:30']","['VOLLUM 120']","[['Monday', '1310', '1430', 'VOLLUM 120'], ['Wednesday', '1310', '1430', 'VOLLUM 120']]","any students, new students","Y","In-Person Instruction Only",20,24,0.833333333333333,2
"ANTH 201 Topics: Lang, Culture, Power","ANTH",201,"S02","Topics: Lang, Culture, Power","ANTH 201 S02","ANTH 201 S02 - Topics: Lang, Culture, Power","Makley","MW","14:40 - 16:00","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30845,NA,"Topics: Lang, Culture, Power","[]","[]","Makley, Charlene","['2']","[]",NA,"N","Anthropology","active",1,NA,"1 semester","Y","['MW']","['14:40-16:00']","['VOLLUM 120']","[['Monday', '1440', '1600', 'VOLLUM 120'], ['Wednesday', '1440', '1600', 'VOLLUM 120']]",NA,"Y","In-Person Instruction Only",24,24,1,2
"ANTH 201 Topics: Decolonizng Archaeology","ANTH",201,"S03","Topics: Decolonizng Archaeology","ANTH 201 S03","ANTH 201 S03 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","13:40 - 15:00","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30846,NA,"Topics:Decolonizng Archaeology","[]","[]","Roche Recinos, Alejandra","['2']","[]",NA,"N","Anthropology","active",1,NA,"1 semester","Y","['TuTh']","['13:40-15:00']","['ELIOT 416']","[['Tuesday', '1340', '1500', 'ELIOT 416'], ['Thursday', '1340', '1500', 'ELIOT 416']]",NA,"Y","In-Person Instruction Only",24,24,1,2
"ANTH 201 Topics: Decolonizng Archaeology","ANTH",201,"S04","Topics: Decolonizng Archaeology","ANTH 201 S04","ANTH 201 S04 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","15:10 - 16:30","17 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30847,NA,"Topics:Decolonizng Archaeology","[]","[]","Roche Recinos, Alejandra","['2']","[]",NA,"N","Anthropology","active",1,NA,"1 semester","Y","['TuTh']","['15:10-16:30']","['ELIOT 416']","[['Tuesday', '1510', '1630', 'ELIOT 416'], ['Thursday', '1510', '1630', 'ELIOT 416']]","any students, new students","Y","In-Person Instruction Only",17,24,0.708333333333333,2
