"Values","Output"
"AMER",0
"ANAR",0
"ANME",14
"ANTH",16
"ARAB",8
"ARBI",0
"AREN",0
"ART",13
"BIOL",15
"BIPH",0
"BIPY",0
"BMB",0
"CHEM",15
"CHIN",7
"CMPL",10.5
"CPHY",0
"CRES",18
"CRWR",10.5
"CSCI",14
"CSMA",0
"DANC",4
"ECMA",0
"ECON",14.5
"ECPS",0
"ENG",19
"ENV",19
"FREN",8
"GER",7
"GLAM",0
"GRK",4
"HISL",0
"HIST",18
"HUM",14.5
"ICPS",6
"LAT",10.5
"LBST",3
"LING",6
"LIT",18
"LITC",9
"LITG",NA
"LITL",NA
"LITR",17
"LITS",21
"LTHE",0
"MALS",0
"MATH",17
"MPHY",0
"MUS",18.5
"NEUR",0
"PHIL",11
"PHYB",0
"PHYS",9.5
"POL",13
"PSRL",0
"PSY",6.5
"REAM",0
"REL",10
"REPO",0
"RTHE",0
"RUAN",0
"RUSS",9
"SA",1
"SOC",14.5
"SOSP",0
"SPAN",12
"THDC",0
"THEA",9
