"Title","Instructor","Days","Time","Enrolled","Units","Mode","Type"
"AMER 470 Y - Thesis (American Studies)","Staff",NA,"TBD","0 of 24","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ANAR 470 Y - Thesis (Anthropology-Art)","Staff",NA,"TBD","0 of 10","1 unit","Instruction mode N/A","INDEPENDENT STUDY"
"ANME 100 S Qtr 1 - Topography & Arch of Rome","Sabnis",NA,"TBD","14 of 15","0.25 units","Instruction mode N/A","LECTURE AND CONFERENCE"
"ANME 261 S - Greek and Roman Mythology","Sabnis","TuTh","15:10 - 16:30","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANME 384 S - Archaeology of Egypt and Nubia","Landvatter","TuTh","13:40 - 15:00","20 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANME 501 S - Pseudo-Archaeology","Landvatter","Tu","19:00 - 20:30","8 of 15","0 units","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S01 - Topics: Lang, Culture, Power","Makley","MW","13:10 - 14:30","21 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S02 - Topics: Lang, Culture, Power","Makley","MW","14:40 - 16:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S03 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","13:40 - 15:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 201 S04 - Topics: Decolonizng Archaeology","Roche Recinos","TuTh","15:10 - 16:30","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 305 S - Musical Ethnography","Luker","TuTh","12:00 - 13:20","19 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 331 S - Archaeology of Reed","Roche Recinos","MW","13:10 - 14:30","4 of 23","1 unit","In-Person Instruction Only","LECTURE AND LAB"
"ANTH 337 S - Black Ecologies in Americas","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 349 S - Time and Space","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 365 S - Development in China","Staff",NA,NA,NA,NA,NA,"CONFERENCE | CANCELLED"
"ANTH 375 S - Anthropology of Science","Vaidya","MW","14:40 - 16:00","23 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 378 S - Nature / Culture / Environ","Dinç","MW","13:10 - 14:30","8 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 379 S - Resources in Mediterranean","Dinç","TuTh","10:30 - 11:50","7 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 398 S - Race and Immigration","Silverstein","W","18:10 - 21:00","Full (no wait list available)","1 unit","In-Person Instruction Only","CONFERENCE"
"ANTH 425 S - Marx from the South","Vaidya","Tu","15:10 - 18:00","18 of 24","1 unit","In-Person Instruction Only","CONFERENCE"
