"Department","Level","Students"
"All Departments",0,15
"All Departments",100,11
"All Departments",200,15.5
"All Departments",300,12.5
"All Departments",400,0
"AMER",400,0
"ANAR",400,0
"ANME",100,14
"ANME",200,NA
"ANME",300,20
"ANTH",200,22
"ANTH",300,12
"ANTH",400,8
"ARAB",100,8
"ARBI",400,0
"AREN",400,0
"ART",100,NA
"ART",200,20
"ART",300,11.5
"ART",400,0
"BIOL",100,21
"BIOL",200,13.5
"BIOL",300,12.5
"BIOL",400,11
"BIPH",400,0
"BIPY",400,0
"BMB",400,0
"CHEM",0,15
"CHEM",100,14
"CHEM",200,18
"CHEM",300,15
"CHEM",400,0
"CHIN",100,7.5
"CHIN",200,7
"CHIN",300,7
"CHIN",400,0
"CMPL",200,21
"CMPL",400,0
"CPHY",400,0
"CRES",100,23
"CRES",200,19
"CRES",300,18
"CRES",400,0
"CRWR",200,12
"CRWR",300,9
"CSCI",100,NA
"CSCI",200,10
"CSCI",300,21.5
"CSCI",400,6.5
"CSMA",400,0
"DANC",100,2
"DANC",200,19
"DANC",300,4
"DANC",400,11
"ECMA",400,0
"ECON",200,15
"ECON",300,15.5
"ECON",400,2.5
"ECPS",400,0
"ENG",200,19
"ENG",300,22
"ENG",400,0
"ENV",200,21
"ENV",300,19
"ENV",400,0
"FREN",100,7.5
"FREN",200,11.5
"FREN",300,7
"FREN",400,0
"GER",100,9.5
"GER",200,11
"GER",300,5
"GER",400,0
"GLAM",400,0
"GRK",100,9
"GRK",200,3
"GRK",300,4
"HISL",400,0
"HIST",200,22
"HIST",300,17.5
"HIST",400,8
"HUM",100,15
"HUM",200,10
"ICPS",300,6
"ICPS",400,0
"LAT",100,9
"LAT",300,12
"LING",200,21.5
"LING",300,5.5
"LING",400,3
"LIT",200,23
"LIT",300,18
"LIT",400,NA
"LITC",300,9
"LITG",300,NA
"LITL",200,NA
"LITR",300,17
"LITS",300,21
"LTHE",400,0
"MATH",100,18
"MATH",200,23
"MATH",300,15.5
"MATH",400,13
"MPHY",400,0
"MUS",100,23
"MUS",200,16
"MUS",300,16
"MUS",400,0
"NEUR",400,0
"PHIL",200,17.5
"PHIL",300,9
"PHIL",400,5
"PHYB",400,0
"PHYS",100,10.5
"PHYS",200,11
"PHYS",300,7
"PHYS",400,5
"POL",200,13
"POL",300,13
"POL",400,0
"PSRL",400,0
"PSY",200,NA
"PSY",300,13
"PSY",400,0
"REAM",400,0
"REL",100,21
"REL",200,13
"REL",300,9
"REL",400,4
"REPO",400,0
"RTHE",400,0
"RUAN",400,0
"RUSS",100,6
"RUSS",200,4
"RUSS",300,15
"RUSS",400,0
"SA",300,1
"SOC",200,19
"SOC",300,11.5
"SOC",400,0
"SOSP",400,0
"SPAN",100,12
"SPAN",200,11
"SPAN",300,18.5
"SPAN",400,0
"THDC",400,0
"THEA",100,11
"THEA",200,9
"THEA",400,0
