"Department","Level","Students"
"All Departments",0,15
"All Departments",100,12.7517961570593
"All Departments",200,14.9787301587302
"All Departments",300,13.6997574955908
"All Departments",400,1.68176100628931
"All Departments",500,5.33333333333333
"All Departments",600,1
"AMER",400,0
"ANAR",400,0
"ANME",100,14
"ANME",200,NA
"ANME",300,20
"ANME",500,8
"ANTH",200,21.75
"ANTH",300,12.2
"ANTH",400,9
"ARAB",100,8
"ARBI",400,0
"AREN",400,0
"ART",100,NA
"ART",200,19.3333333333333
"ART",300,12.25
"ART",400,1
"BIOL",100,20.5
"BIOL",200,14
"BIOL",300,13
"BIOL",400,9.8
"PHIL",200,21
"PHIL",300,11.6666666666667
"PHIL",400,8
"PHYB",400,0
"PHYS",100,11.4
"PHYS",200,11.5
"PHYS",300,9.16666666666667
"PHYS",400,7
"POL",200,13.4285714285714
"POL",300,11.2857142857143
"POL",400,0
"PSRL",400,0
"PSY",200,NA
"PSY",300,13
"PSY",400,2
"REAM",400,1
"REL",100,19
"REL",200,12.5
"REL",300,9.5
"REL",400,4
"REPO",400,0
"RTHE",400,0
"RUAN",400,0
"RUSS",100,6
"RUSS",200,4
"RUSS",300,15.3333333333333
"RUSS",400,1
"SA",300,43
"SOC",200,17.2
"SOC",300,12.5
"SOC",400,1
"SOSP",400,0
"SPAN",100,13
"SPAN",200,11
"SPAN",300,18.5
"SPAN",400,0
"THDC",400,0
"THEA",100,11.3333333333333
"THEA",200,11.1666666666667
"THEA",400,0
"BIPH",400,0
"BIPY",400,0
"BMB",400,0
"CHEM",0,15
"CHEM",100,14.6
"CHEM",200,17.5
"CHEM",300,13.5
"CHEM",400,0
"CHIN",100,7.5
"CHIN",200,7
"CHIN",300,8.33333333333333
"CHIN",400,0
"CMPL",200,20
"CMPL",400,0
"CPHY",400,0
"CRES",100,NA
"CRES",200,20
"CRES",300,16.6666666666667
"CRES",400,0
"CRWR",200,12
"CRWR",300,9
"CSCI",100,NA
"CSCI",200,11
"CSCI",300,19.3333333333333
"CSCI",400,7.5
"CSMA",400,0
"DANC",100,1.88888888888889
"DANC",200,19
"DANC",300,4.33333333333333
"DANC",400,8
"ECMA",400,0
"ECON",200,15.5
"ECON",300,16.5
"ECON",400,2.5
"ECPS",400,0
"ENG",200,22
"ENG",300,21
"ENG",400,4
"ENV",200,21
"ENV",300,19
"ENV",400,2
"FREN",100,6.5
"FREN",200,11.5
"FREN",300,9.4
"FREN",400,0
"GER",100,9.5
"GER",200,11
"GER",300,5
"GER",400,0
"GLAM",400,2
"GRK",100,9
"GRK",200,3
"GRK",300,4
"HISL",400,0
"HIST",200,22.3333333333333
"HIST",300,18.3333333333333
"HIST",400,6.66666666666667
"HUM",100,14.6111111111111
"HUM",200,9.75
"ICPS",300,6.5
"ICPS",400,0
"LAT",100,11
"LAT",300,12
"LBST",500,3
"LING",200,21.5
"LING",300,8.5
"LING",400,3
"LIT",200,NA
"LIT",300,18
"LIT",400,NA
"LIT",500,5
"LITC",300,9
"LITG",300,NA
"LITL",200,NA
"LITR",300,17.5
"LITS",300,21
"LTHE",400,0
"MALS",600,1
"MATH",100,17.4285714285714
"MATH",200,25
"MATH",300,14.8888888888889
"MATH",400,8.66666666666667
"MPHY",400,0
"MUS",100,35
"MUS",200,14.4
"MUS",300,19
"MUS",400,0
"NEUR",400,0
"PE",100,12.0222222222222
"PE",200,9
"PE",300,1
"PE",400,1
