"GROUP_CODE","Level","Val","Count"
"ALL",400,0,52
"ALL",400,4,1
"ALL",400,5,2
"ALL",400,6,1
"ALL",400,8,3
"ALL",400,10,1
"ALL",400,11,3
"ALL",400,12,1
"ALL",400,13,3
"ALL",400,15,1
"ALL",400,16,2
"ALL",400,18,1
"ALL",400,NA,3
"ALL",100,0,1
"ALL",100,1,3
"ALL",100,2,3
"ALL",100,4,2
"ALL",100,6,2
"ALL",100,7,1
"ALL",100,8,8
"ALL",100,9,6
"ALL",100,10,3
"ALL",100,11,5
"ALL",100,12,4
"ALL",100,13,3
"ALL",100,14,7
"ALL",100,15,10
"ALL",100,16,10
"ALL",100,17,1
"ALL",100,18,4
"ALL",100,19,2
"ALL",100,20,2
"ALL",100,21,6
"ALL",100,22,4
"ALL",100,23,4
"ALL",100,24,1
"ALL",100,27,2
"ALL",100,48,1
"ALL",100,100,1
"ALL",100,NA,21
"ALL",200,3,2
"ALL",200,4,2
"ALL",200,5,1
"ALL",200,6,2
"ALL",200,7,2
"ALL",200,8,5
"ALL",200,9,5
"ALL",200,10,4
"ALL",200,11,8
"ALL",200,12,5
"ALL",200,13,3
"ALL",200,14,3
"ALL",200,15,2
"ALL",200,16,2
"ALL",200,17,6
"ALL",200,18,1
"ALL",200,19,8
"ALL",200,20,5
"ALL",200,21,6
"ALL",200,22,6
"ALL",200,23,4
"ALL",200,24,5
"ALL",200,NA,28
"ALL",300,0,1
"ALL",300,1,3
"ALL",300,4,3
"ALL",300,5,8
"ALL",300,6,9
"ALL",300,7,10
"ALL",300,8,4
"ALL",300,9,6
"ALL",300,10,1
"ALL",300,11,6
"ALL",300,12,5
"ALL",300,13,8
"ALL",300,14,6
"ALL",300,15,6
"ALL",300,16,8
"ALL",300,17,5
"ALL",300,18,7
"ALL",300,19,7
"ALL",300,20,2
"ALL",300,21,4
"ALL",300,22,4
"ALL",300,23,5
"ALL",300,24,1
"ALL",300,NA,31
"ALL",500,3,1
"ALL",500,4,1
"ALL",500,8,1
"ALL",0,15,1
"ALL",600,0,1
"1",200,3,2
"1",200,4,2
"1",200,5,1
"1",200,6,2
"1",200,7,1
"1",200,8,2
"1",200,9,3
"1",200,10,4
"1",200,11,2
"1",200,12,4
"1",200,14,2
"1",200,15,1
"1",200,16,1
"1",200,17,2
"1",200,19,6
"1",200,20,2
"1",200,21,1
"1",200,22,1
"1",200,23,1
"1",200,24,1
"1",200,NA,11
"1",100,4,2
"1",100,6,2
"1",100,7,1
"1",100,8,4
"1",100,9,4
"1",100,10,1
"1",100,11,1
"1",100,16,1
"1",100,18,1
"1",100,23,2
"1",100,100,1
"1",100,NA,2
"1",300,4,3
"1",300,5,5
"1",300,7,4
"1",300,8,2
"1",300,9,2
"1",300,10,1
"1",300,11,3
"1",300,12,4
"1",300,13,1
"1",300,14,2
"1",300,15,2
"1",300,16,2
"1",300,18,4
"1",300,19,2
"1",300,21,2
"1",300,22,1
"1",300,23,1
"1",300,NA,13
"1",400,5,1
"1",400,11,2
"1",400,18,1
"1",400,NA,2
"2",300,1,1
"2",300,5,3
"2",300,6,7
"2",300,7,1
"2",300,8,2
"2",300,9,2
"2",300,11,1
"2",300,13,4
"2",300,14,2
"2",300,15,1
"2",300,16,6
"2",300,17,1
"2",300,18,3
"2",300,19,3
"2",300,20,2
"2",300,22,1
"2",300,23,3
"2",300,NA,3
"2",200,3,1
"2",200,4,1
"2",200,8,4
"2",200,10,2
"2",200,11,3
"2",200,12,2
"2",200,13,3
"2",200,14,1
"2",200,15,1
"2",200,17,4
"2",200,18,1
"2",200,19,1
"2",200,20,2
"2",200,21,2
"2",200,22,4
"2",200,23,2
"2",200,24,2
"2",200,NA,2
"2",400,5,1
"2",400,6,1
"2",400,8,3
"2",400,12,1
"2",400,16,1
"2",400,NA,1
"2",100,12,1
"2",100,21,2
"2",100,22,1
"3",100,8,4
"3",100,9,1
"3",100,10,1
"3",100,11,4
"3",100,12,3
"3",100,13,1
"3",100,14,1
"3",100,15,4
"3",100,16,2
"3",100,17,1
"3",100,18,1
"3",100,19,2
"3",100,20,2
"3",100,21,4
"3",100,22,3
"3",100,24,1
"3",100,NA,14
"3",200,9,2
"3",200,11,4
"3",200,16,1
"3",200,17,1
"3",200,19,1
"3",200,20,1
"3",200,21,2
"3",200,22,1
"3",200,23,1
"3",200,24,2
"3",200,NA,15
"3",300,6,2
"3",300,7,5
"3",300,9,2
"3",300,11,2
"3",300,12,1
"3",300,13,3
"3",300,14,2
"3",300,15,3
"3",300,17,4
"3",300,19,1
"3",300,21,2
"3",300,22,2
"3",300,23,1
"3",300,24,1
"3",300,NA,15
"3",400,4,1
"3",400,10,1
"3",400,11,1
"3",400,13,3
"3",400,15,1
"3",400,16,1
"3+",100,8,4
"3+",100,9,1
"3+",100,10,1
"3+",100,11,4
"3+",100,12,2
"3+",100,13,1
"3+",100,15,3
"3+",100,16,1
"3+",100,17,1
"3+",100,19,2
"3+",100,20,1
"3+",100,21,3
"3+",100,22,2
"3+",100,NA,4
"3+",300,6,2
"3+",300,7,1
"3+",300,11,2
"3+",300,12,1
"3+",300,13,1
"3+",300,14,1
"3+",300,15,2
"3+",300,17,1
"3+",300,NA,10
"3+",200,9,1
"3+",200,11,3
"3+",200,17,1
"3+",200,19,1
"3+",200,21,1
"3+",200,22,1
"3+",200,24,1
"3+",200,NA,12
