"GROUP_CODE","Class_ID","Department","Number","Section","Name_SOLAR","Section_ID","Title_Catalog","Instructor","Days","Time","Enrolled","Units","Mode","Type","term","crn","note","title","xlist","xlist_crn","instructor","group","theme","graduate_level","year_long","subject","status","units","quarter","duration","no_prereq","days","time","location","meetings","seats_available","reserved_seats","instruction_mode","Students","Seats","Percent_Fill","Level","Depar_Level_ID"
"1","ANME 261 Greek and Roman Mythology","ANME",261,"S","Greek and Roman Mythology","ANME 261 S","ANME 261 S - Greek and Roman Mythology","Sabnis","TuTh","15:10 - 16:30","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30581,NA,"Greek and Roman Mythology","['LITL 261']","['30688']","Sabnis, Sonia","['1']","[]",NA,"N","Ancient Mediterranean Studies","active",1,NA,"1 semester","Y","['TuTh']","['15:10-16:30']","['TRL 150']","[['Tuesday', '1510', '1630', 'TRL 150'], ['Thursday', '1510', '1630', 'TRL 150']]",NA,"Y","In-Person Instruction Only",NA,NA,1,2,"ANME_2"
"1","ARAB 112 Introductory Arabic II","ARAB",112,"S","Introductory Arabic II","ARAB 112 S","ARAB 112 S - Introductory Arabic II","Staff","MTuWThF","12:00 - 12:50","8 of 15",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",31113,"Course is not included in Reed GPA.","Introductory Arabic II","[]","[]","Staff","['1']","[]",NA,"N","Arabic","active",1,NA,"1 semester","N","['MTuWThF']","['12:00-12:50']","['ETC 208']","[['Monday', '1200', '1250', 'ETC 208'], ['Tuesday', '1200', '1250', 'ETC 208'], ['Wednesday', '1200', '1250', 'ETC 208'], ['Thursday', '1200', '1250', 'ETC 208'], ['Friday', '1200', '1250', 'ETC 208']]","any students, new students","Y","In-Person Instruction Only",8,15,0.533333333333333,1,"ARAB_1"
"1","ART 171 The Figure","ART",171,"S","The Figure","ART 171 S","ART 171 S - The Figure","Duford","TuTh","9:00 - 11:50","Full (no wait list available)",1,"In-Person Instruction Only","STUDIO","Spring 2024",31121,"Priority for this course is given to students in the major.","The Figure","[]","[]","Duford, Daniel","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","Y","['TuTh']","['09:00-11:50']","['ART 104']","[['Tuesday', '0900', '1150', 'ART 104'], ['Thursday', '0900', '1150', 'ART 104']]",NA,"Y","In-Person Instruction Only",NA,NA,1,1,"ART_1"
"1","ART 188 Object and Social Context","ART",188,"S","Object and Social Context","ART 188 S","ART 188 S - Object and Social Context","Stevenson Jr","TuTh","9:00 - 11:50","Full (no wait list available)",1,"In-Person Instruction Only","STUDIO","Spring 2024",31146,NA,"Object and Social Context","[]","[]","Stevenson Jr, Michael","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","Y","['TuTh']","['09:00-11:50']","['ART 102']","[['Tuesday', '0900', '1150', 'ART 102'], ['Thursday', '0900', '1150', 'ART 102']]",NA,"Y","In-Person Instruction Only",NA,NA,1,1,"ART_1"
"1","ART 201 Introduction to Art History","ART",201,"S01","Introduction to Art History","ART 201 S01","ART 201 S01 - Introduction to Art History","Wang","MW","13:10 - 14:30","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30098,NA,"Introduction to Art History","[]","[]","Wang, Michelle","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","Y","['MW']","['13:10-14:30']","['LIB 41']","[['Monday', '1310', '1430', 'LIB 41'], ['Wednesday', '1310', '1430', 'LIB 41']]",NA,"Y","In-Person Instruction Only",24,24,1,2,"ART_2"
"1","ART 201 Introduction to Art History","ART",201,"S02","Introduction to Art History","ART 201 S02","ART 201 S02 - Introduction to Art History","Wang","MW","14:40 - 16:00","20 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30097,NA,"Introduction to Art History","[]","[]","Wang, Michelle","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","Y","['MW']","['14:40-16:00']","['LIB 41']","[['Monday', '1440', '1600', 'LIB 41'], ['Wednesday', '1440', '1600', 'LIB 41']]","any students, new students","Y","In-Person Instruction Only",20,24,0.833333333333333,2,"ART_2"
"1","ART 274 Painting II","ART",274,"S","Painting II","ART 274 S","ART 274 S - Painting II - Naturecultures","Harrower","MW","13:10 - 16:00","Full (no wait list available)",1,"In-Person Instruction Only","STUDIO","Spring 2024",31149,NA,"Painting II - Naturecultures","[]","[]","Harrower, Juniper","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","N","['MW']","['13:10-16:00']","['ART 110']","[['Monday', '1310', '1600', 'ART 110'], ['Wednesday', '1310', '1600', 'ART 110']]",NA,"N","In-Person Instruction Only",NA,NA,1,2,"ART_2"
"1","ART 282 Sculpture in Expanded Field","ART",282,"S","Sculpture in Expanded Field","ART 282 S","ART 282 S - Sculpture in Expanded Field","Ondrizek","MW","13:10 - 16:00","Full (no wait list available)",1,"In-Person Instruction Only","STUDIO","Spring 2024",30861,"Priority for this course is given to students in the major.","Sculpture in Expanded Field","[]","[]","Ondrizek, Gerri","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","N","['MW']","['13:10-16:00']","['ART 102']","[['Monday', '1310', '1600', 'ART 102'], ['Wednesday', '1310', '1600', 'ART 102']]",NA,"N","In-Person Instruction Only",NA,NA,1,2,"ART_2"
"1","ART 284 Craft and Culture","ART",284,"S","Craft and Culture","ART 284 S","ART 284 S - Craft and Culture","Duford","TuTh","13:40 - 16:30","14 of 15",1,"In-Person Instruction Only","STUDIO","Spring 2024",31130,"Priority for this course is given to students in the major.","Craft and Culture","[]","[]","Duford, Daniel","['1']","[]",NA,"N","Art","active",1,NA,"1 semester","N","['TuTh']","['13:40-16:30']","['ART 103']","[['Tuesday', '1340', '1630', 'ART 103'], ['Thursday', '1340', '1630', 'ART 103']]","any students, new students","N","In-Person Instruction Only",14,15,0.933333333333333,2,"ART_2"
"1","ART 291 Art and Photography II","ART",291,"S","Art and Photography II","ART 291 S","ART 291 S - Art and Photography II","Miyoshi","TuTh","18:10 - 21:00","Full (no wait list available)",1,"In-Person Instruction Only","STUDIO","Spring 2024",30859,NA,"Art and Photography II","[]","[]","Miyoshi, Aki","['1']","['Film and Media Studies']",NA,"N","Art","active",1,NA,"1 semester","N","['TuTh']","['18:10-21:00']","['ART 201']","[['Tuesday', '1810', '2100', 'ART 201'], ['Thursday', '1810', '2100', 'ART 201']]",NA,"N","In-Person Instruction Only",NA,NA,1,2,"ART_2"
